DNI,APELLIDOS Y NOMBRES,CARGO,CLIENTE,DIRECCION,SUPERVISOR,JORNADA,HORARIO,DESCANSO,UNIDAD,FECHA DE INGRESO,FECHA DE CESE,fecha_asistencia,estado_original,estado_limpio,estado_normalizado,es_atipico,es_activo_en_fecha
00000331,FICTICIO_331,OPERARIO DE LIMPIEZA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_331,LUNES A DOMINGO,07:00 - 16:00,DOMINGO,VITAPRO - TRUJILLO,2025-01-11,1970-01-01,2026-04-20,A,A,Asistencia,False,False
00000332,FICTICIO_332,OPERARIO DE LIMPIEZA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_332,LUNES A DOMINGO,11:00 - 15:00,DOMINGO,VITAPRO - TRUJILLO,2025-01-11,,2026-04-20,A,A,Asistencia,False,True
00000333,FICTICIO_333,OPERARIO DE LIMPIEZA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_333,LUNES A DOMINGO,07:00 - 16:00,DOMINGO,VITAPRO - TRUJILLO,2025-01-11,,2026-04-20,A,A,Asistencia,False,True
00000334,FICTICIO_334,SUPERVISOR DE OPERACIONES,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_334,LUNES A DOMINGO,06:30 - 15:15,DOMINGO,VITAPRO - TRUJILLO,2025-01-11,,2026-04-20,A,A,Asistencia,False,True
00000335,FICTICIO_335,OPERARIO DE LIMPIEZA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_335,LUNES A DOMINGO,06:30 - 15:15,DOMINGO,VITAPRO - TRUJILLO,2025-01-11,,2026-04-20,A,A,Asistencia,False,True
00000336,FICTICIO_336,OPERARIO DE LIMPIEZA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_336,LUNES A DOMINGO,06:30 - 15:15,DOMINGO,VITAPRO - TRUJILLO,2025-01-11,,2026-04-20,A,A,Asistencia,False,True
00000337,FICTICIO_337,OPERARIO DE LIMPIEZA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_337,LUNES A DOMINGO,10:00 - 18:00,DOMINGO,VITAPRO - TRUJILLO,2025-01-11,,2026-04-20,A,A,Asistencia,False,True
00000338,FICTICIO_338,MAQUINISTA BARREDORA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_338,LUNES A DOMINGO,06:30 - 15:15,DOMINGO,VITAPRO - TRUJILLO,2025-01-11,,2026-04-20,A,A,Asistencia,False,True
00000339,FICTICIO_339,OPERARIO DE LIMPIEZA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_339,LUNES A DOMINGO,07:00 - 16:00,DOMINGO,VITAPRO - TRUJILLO,2025-01-11,,2026-04-20,A,A,Asistencia,False,True
00000340,FICTICIO_340,OPERARIO DE LIMPIEZA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_340,LUNES A DOMINGO,06:30 - 15:15,DOMINGO,VITAPRO - TRUJILLO,2025-01-11,,2026-04-20,A,A,Asistencia,False,True
00000341,FICTICIO_341,OPERARIO DE LIMPIEZA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_341,LUNES A DOMINGO,07:00 - 16:00,DOMINGO,VITAPRO - TRUJILLO,2025-01-11,,2026-04-20,A,A,Asistencia,False,True
00000342,FICTICIO_342,OPERARIO DE LIMPIEZA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_342,LUNES A DOMINGO,07:00 - 16:00,DOMINGO,VITAPRO - TRUJILLO,2025-01-11,,2026-04-20,A,A,Asistencia,False,True
00000343,FICTICIO_343,OPERARIO DE LIMPIEZA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_343,LUNES A DOMINGO,07:00 - 16:00,DOMINGO,VITAPRO - TRUJILLO,1970-01-01,,2026-04-20,A,A,Asistencia,False,True
00000344,FICTICIO_344,OPERARIO DE LIMPIEZA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_344,LUNES A DOMINGO,07:00 - 16:00,DOMINGO,VITAPRO - TRUJILLO,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000345,FICTICIO_345,OPERARIO DE LIMPIEZA,VITAPRO S.A. / VITAPRO - 20555271566,"Gonzales Prada 202, Víctor Larco Herrera 13007 - https://share.google/o51HO8eM7VJ780RKe",SUPERVISOR_345,LUNES A DOMINGO,07:00 - 16:00,DOMINGO,VITAPRO - TRUJILLO,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000346,FICTICIO_346,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Archipielago Lurigancho Lima 15457 https://share.google/gBp6uP3RqXWiMFgcK,SUPERVISOR_346,LUNES A DOMINGO,,DOMINGO,CD-HUACHIPA,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000347,FICTICIO_347,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_347,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000348,FICTICIO_348,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_348,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,1970-01-01,2026-04-20,,NAN,Atípico por Verificar,True,False
00000349,FICTICIO_349,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_349,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000350,FICTICIO_350,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_350,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000351,FICTICIO_351,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_351,LUNES A SABADO,,DOMINGO,AREQUIPA,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000352,FICTICIO_352,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_352,LUNES A SABADO,,DOMINGO,AREQUIPA,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000353,FICTICIO_353,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_353,LUNES A SABADO,,DOMINGO,AREQUIPA,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000354,FICTICIO_354,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_354,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000355,FICTICIO_355,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_355,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000356,FICTICIO_356,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_356,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000357,FICTICIO_357,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_357,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000358,FICTICIO_358,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_358,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000359,FICTICIO_359,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_359,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000360,FICTICIO_360,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,"P58G+P4C, Av Gasoducto, Lurín 15842 - https://share.google/6ifaw21iLAJdnvM6h",SUPERVISOR_360,LUNES A DOMINGO,,DOMINGO,LATAM LOGISTIC,1970-01-01,1970-01-01,2026-04-20,,NAN,Atípico por Verificar,True,False
00000361,FICTICIO_361,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Archipielago Lurigancho Lima 15457 https://share.google/gBp6uP3RqXWiMFgcK,SUPERVISOR_361,LUNES A DOMINGO,,DOMINGO,CD-HUACHIPA,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000362,FICTICIO_362,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,"P58G+P4C, Av Gasoducto, Lurín 15842 - https://share.google/6ifaw21iLAJdnvM6h",SUPERVISOR_362,LUNES A DOMINGO,,DOMINGO,LATAM LOGISTIC,1970-01-01,1970-01-01,2026-04-20,,NAN,Atípico por Verificar,True,False
00000363,FICTICIO_363,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,"Huascar 143, Callao 07021 - https://share.google/sUUV1IhYUliCANR07",SUPERVISOR_363,LUNES A SABADO,,DOMINGO,MOLINO CALLAO,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000364,FICTICIO_364,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_364,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,1970-01-01,2026-04-20,,NAN,Atípico por Verificar,True,False
00000365,FICTICIO_365,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_365,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,1970-01-01,2026-04-20,,NAN,Atípico por Verificar,True,False
00000366,FICTICIO_366,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_366,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,1970-01-01,2026-04-20,,NAN,Atípico por Verificar,True,False
00000367,FICTICIO_367,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_367,LUNES A DOMINGO,,DOMINGO,PREDIO CENTRAL,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000368,FICTICIO_368,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,"Huascar 143, Callao 07021 - https://share.google/sUUV1IhYUliCANR07",SUPERVISOR_368,LUNES A SABADO,13:00 - 22:00,DOMINGO,MOLINO CALLAO,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000369,FICTICIO_369,OPERARIO DE LIMPIEZA,INTRADEVCO / 20417378911,Av Producción Nacional Nro 188 Ur La Villa Chorrillos. https://share.google/Ih0gEZUJ97E3XlTTq,SUPERVISOR_369,LUNES A SABADO,07:00 - 16:00,DOMINGO,ITDV-LURIN,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000370,FICTICIO_370,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Jr. Jorge Chávez 935 CALLAO - https://maps.app.goo.gl/RkYLHyy4Fnz4A51f7,SUPERVISOR_370,LUNES A DOMINGO,06:00 - 15:00,DOMINGO,PREDIO CENTRAL,1970-01-01,1970-01-01,2026-04-20,,NAN,Atípico por Verificar,True,False
00000371,FICTICIO_371,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,"Huascar 143, Callao 07021 - https://share.google/sUUV1IhYUliCANR07",SUPERVISOR_371,LUNES A SABADO,07:00 - 16:00,DOMINGO,ITDV-LURIN,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000372,FICTICIO_372,OPERARIO DE LIMPIEZA,INTRADEVCO / 20417378911,Av Producción Nacional Nro 188 Ur La Villa Chorrillos. https://share.google/Ih0gEZUJ97E3XlTTq,SUPERVISOR_372,LUNES A SABADO,07:00 - 16:00,DOMINGO,ITDV-LURIN,1970-01-01,,2026-04-20,,NAN,Atípico por Verificar,True,True
00000001,FICTICIO_1,OPERARIO DE LIMPIEZA,APUDEX SAC / 20602893350,"Av. Nicolas Ayllon 2635, El Agustino 150104, Perú, cerca del Mall Plaza Santa Anita",SUPERVISOR_1,LUNES A SABADO,09:00 - 18:00,DOMINGO,APUDEX,1970-01-01,1970-01-01,2026-04-21,A,A,Asistencia,False,False
00000002,FICTICIO_2,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Archipielago Lurigancho Lima 15457 https://share.google/gBp6uP3RqXWiMFgcK,SUPERVISOR_2,LUNES A DOMINGO,06:00 - 15:00,DOMINGO,CD-HUACHIPA,1970-01-01,1970-01-01,2026-04-21,A,A,Asistencia,False,False
00000003,FICTICIO_3,OPERARIO DE LIMPIEZA,APUDEX SAC / 20602893350,"Av. Nicolas Ayllon 2635, El Agustino 150104, Perú, cerca del Mall Plaza Santa Anita",SUPERVISOR_3,LUNES A SABADO,06:00 - 15:00,DOMINGO,APUDEX,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000004,FICTICIO_4,OPERARIO DE LIMPIEZA,APUDEX SAC / 20602893350,"Av. Nicolas Ayllon 2635, El Agustino 150104, Perú, cerca del Mall Plaza Santa Anita",SUPERVISOR_4,LUNES A SABADO,06:00 - 15:00,DOMINGO,APUDEX,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000005,FICTICIO_5,OPERARIO DE LIMPIEZA,APUDEX SAC / 20602893350,"Av. Nicolas Ayllon 2635, El Agustino 150104, Perú, cerca del Mall Plaza Santa Anita",SUPERVISOR_5,LUNES A SABADO,09:00 - 18:00,DOMINGO,APUDEX,1970-01-01,,2026-04-21,,NAN,Atípico por Verificar,True,True
00000006,FICTICIO_6,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_6,LUNES A SABADO,06:00 - 15:00,DOMINGO,AREQUIPA,1970-01-01,,2026-04-21,A,A,Asistencia,False,True
00000007,FICTICIO_7,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_7,LUNES A SABADO,06:00 - 15:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000008,FICTICIO_8,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_8,LUNES A SABADO,12:00 - 21:00,DOMINGO,AREQUIPA,1970-01-01,,2026-04-21,A,A,Asistencia,False,True
00000009,FICTICIO_9,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_9,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,1970-01-01,,2026-04-21,A,A,Asistencia,False,True
00000010,FICTICIO_10,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_10,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000011,FICTICIO_11,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_11,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000012,FICTICIO_12,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_12,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,1970-01-01,,2026-04-21,A,A,Asistencia,False,True
00000013,FICTICIO_13,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_13,LUNES A SABADO,12:00 - 21:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000014,FICTICIO_14,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_14,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,1970-01-01,,2026-04-21,A,A,Asistencia,False,True
00000015,FICTICIO_15,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_15,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000016,FICTICIO_16,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_16,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000017,FICTICIO_17,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_17,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000018,FICTICIO_18,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_18,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000019,FICTICIO_19,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_19,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,1970-01-01,,2026-04-21,A,A,Asistencia,False,True
00000020,FICTICIO_20,OPERARIO DE ESPACIOS CONFINADOS,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_20,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000021,FICTICIO_21,OPERARIO DE ESPACIOS CONFINADOS,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_21,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,1970-01-01,1970-01-01,2026-04-21,A,A,Asistencia,False,False
00000022,FICTICIO_22,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_22,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,1970-01-01,,2026-04-21,A,A,Asistencia,False,True
00000023,FICTICIO_23,MAQUINISTA BARREDORA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_23,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000024,FICTICIO_24,OPERARIO DE ESPACIOS CONFINADOS,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_24,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,F,F,Falta,False,True
00000025,FICTICIO_25,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_25,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000026,FICTICIO_26,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_26,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000027,FICTICIO_27,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_27,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,1970-01-01,1970-01-01,2026-04-21,A,A,Asistencia,False,False
00000028,FICTICIO_28,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_28,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000029,FICTICIO_29,SUPERVISOR DE OPERACIONES,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_29,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000030,FICTICIO_30,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_30,LUNES A SABADO,12:00 - 21:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000031,FICTICIO_31,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_31,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000032,FICTICIO_32,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_32,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,1970-01-01,2026-04-21,C,C,Cese,False,False
00000033,FICTICIO_33,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_33,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-12,,2026-04-21,A,A,Asistencia,False,True
00000034,FICTICIO_34,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_34,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000035,FICTICIO_35,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,"P536+84V Industrial / Los Claveles, Lurín 15833",SUPERVISOR_35,LUNES A DOMINGO,06:00 - 18:00,DOMINGO,CD1 Y CD2,1970-01-01,,2026-04-21,A,A,Asistencia,False,True
00000036,FICTICIO_36,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,"P536+84V Industrial / Los Claveles, Lurín 15823",SUPERVISOR_36,LUNES A DOMINGO,06:00 - 18:00,DOMINGO,CD1 Y CD2,1970-01-01,1970-01-01,2026-04-21,A,A,Asistencia,False,False
00000037,FICTICIO_37,MAQUINISTA,ALICORP SAA / 20100055237,"P536+84V Industrial / Los Claveles, Lurín 15824",SUPERVISOR_37,LUNES A DOMINGO,06:00 - 18:00,DOMINGO,CD1 Y CD2,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000038,FICTICIO_38,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,"P536+84V Industrial / Los Claveles, Lurín 15825",SUPERVISOR_38,LUNES A DOMINGO,18:00 - 06:00,SÁBADO,CD1 Y CD2,1970-01-01,,2026-04-21,A,A,Asistencia,False,True
00000039,FICTICIO_39,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,"P536+84V Industrial / Los Claveles, Lurín 15825",SUPERVISOR_39,LUNES A DOMINGO,06:00 - 18:00,DOMINGO,CD1 Y CD2,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
00000040,FICTICIO_40,SUPERVISOR DE OPERACIONES,ALICORP SAA / 20100055237,"P536+84V Industrial / Los Claveles, Lurín 15826",SUPERVISOR_40,LUNES A DOMINGO,06:00 - 18:00,DOMINGO,CD1 Y CD2,2025-01-11,,2026-04-21,A,A,Asistencia,False,True
